record_id,n_beats,TP,FP,TN,FN,precision,recall,f1_score,accuracy,specificity
100,2273,2,30,2209,32,0.0625,0.0588,0.0606,0.9727,0.9866
101,1873,4,41,1819,9,0.0889,0.3077,0.1379,0.9733,0.978
102,2191,4,0,99,2088,1.0,0.0019,0.0038,0.047,1.0
103,2090,0,0,2082,8,0.0,0.0,0.0,0.9962,1.0
104,2310,205,19,144,1942,0.9152,0.0955,0.1729,0.1511,0.8834
105,2690,36,216,2310,128,0.1429,0.2195,0.1731,0.8721,0.9145
106,2098,583,767,740,8,0.4319,0.9865,0.6007,0.6306,0.491
107,2139,3,0,0,2136,1.0,0.0014,0.0028,0.0014,0.0
108,1823,67,816,924,16,0.0759,0.8072,0.1387,0.5436,0.531
109,2534,0,1,2491,42,0.0,0.0,0.0,0.983,0.9996
111,2132,0,1,2122,9,0.0,0.0,0.0,0.9953,0.9995
112,2549,2,288,2249,10,0.0069,0.1667,0.0132,0.8831,0.8865
113,1795,5,580,1209,1,0.0085,0.8333,0.0169,0.6763,0.6758
114,1889,68,481,1339,1,0.1239,0.9855,0.2201,0.7448,0.7357
115,1961,4,155,1798,4,0.0252,0.5,0.0479,0.9189,0.9206
116,2420,49,479,1823,69,0.0928,0.4153,0.1517,0.7736,0.7919
117,1538,2,265,1269,2,0.0075,0.5,0.0148,0.8264,0.8272
118,2300,31,230,1936,103,0.1188,0.2313,0.157,0.8552,0.8938
119,2093,550,1400,143,0,0.2821,1.0,0.44,0.3311,0.0927
121,1875,2,125,1736,12,0.0157,0.1429,0.0284,0.9269,0.9328
122,2478,0,31,2445,2,0.0,0.0,0.0,0.9867,0.9875
123,1518,3,1265,250,0,0.0024,1.0,0.0047,0.1667,0.165
124,1633,62,289,1247,35,0.1766,0.6392,0.2768,0.8016,0.8118
200,2791,1021,1387,356,27,0.424,0.9742,0.5909,0.4934,0.2042
201,2038,399,1427,208,4,0.2185,0.9901,0.358,0.2978,0.1272
202,2145,78,1037,1024,6,0.07,0.9286,0.1301,0.5138,0.4968
203,3107,574,2488,41,4,0.1875,0.9931,0.3154,0.1979,0.0162
205,2671,55,152,2419,45,0.2657,0.55,0.3583,0.9262,0.9409
207,2384,317,136,1407,524,0.6998,0.3769,0.49,0.7232,0.9119
208,3039,1327,1269,317,126,0.5112,0.9133,0.6555,0.541,0.1999
209,3051,92,106,2515,338,0.4646,0.214,0.293,0.8545,0.9596
210,2684,220,1644,779,41,0.118,0.8429,0.2071,0.3722,0.3215
212,2762,0,0,2748,14,0.0,0.0,0.0,0.9949,1.0
213,3293,184,1031,1610,468,0.1514,0.2822,0.1971,0.5448,0.6096
214,2296,270,1511,492,23,0.1516,0.9215,0.2604,0.3319,0.2456
215,3399,122,874,2321,82,0.1225,0.598,0.2033,0.7187,0.7264
217,2279,494,178,66,1541,0.7351,0.2428,0.365,0.2457,0.2705
219,2311,222,1801,281,7,0.1097,0.9694,0.1972,0.2177,0.135
220,2068,63,127,1827,51,0.3316,0.5526,0.4145,0.9139,0.935
221,2461,429,1998,33,1,0.1768,0.9977,0.3003,0.1877,0.0162
222,2633,353,1898,376,6,0.1568,0.9833,0.2705,0.2769,0.1653
223,2642,446,401,1644,151,0.5266,0.7471,0.6177,0.7911,0.8039
228,2140,443,1406,282,9,0.2396,0.9801,0.385,0.3388,0.1671
230,2465,128,555,1700,82,0.1874,0.6095,0.2867,0.7416,0.7539
231,2010,440,600,968,2,0.4231,0.9955,0.5938,0.7005,0.6173
232,1815,1298,359,39,119,0.7833,0.916,0.8445,0.7366,0.098
233,3151,918,2211,19,3,0.2934,0.9967,0.4533,0.2974,0.0085
234,2763,3,11,2689,60,0.2143,0.0476,0.0779,0.9743,0.9959
